contig	ID	RCC01	RCC02	RCC03	RCC04	RCC05	RCC6	RCC07	RCC08	RCC09	RCC10	RCC11	RCC12	RCC13	RCC14	RCC15	RCC16	RCC17	RCC18	RCC19	RCC20	RCC21	RCC22	RCC23	RCC24
miR-6730-3p	miR-6730-3p	0	1	4	6	3	7	3	0	0	11	4	5	0	5	4	12	4	4	10	1	21	1	5	6
miR-10397-5p	miR-10397-5p	0	5	4	1	4	23	0	0	0	11	5	2	1	10	21	4	18	20	8	0	13	1	21	16
miR-205-3p	miR-205-3p	0	2	5	0	7	8	1	5	6	11	1	6	0	4	19	15	8	2	0	9	2	1	4	5
miR-3124-3p	miR-3124-3p	0	0	1	0	0	4	0	0	0	11	2	0	11	0	0	0	4	2	2	0	8	3	1	4
miR-4647-3p	miR-4647-3p	0	16	23	23	41	15	1	0	8	11	26	0	6	11	6	10	15	3	22	0	16	10	1	9
miR-1180-5p	miR-1180-5p	0	0	3	0	1	1	1	0	0	11	8	2	0	10	0	0	2	7	0	1	6	5	0	0
miR-4274-3p	miR-4274-3p	0	0	2	6	8	13	0	0	1	11	4	0	1	1	2	0	1	3	8	3	11	0	4	5
miR-4636	miR-4636	0	0	2	0	2	3	5	0	0	11	5	0	15	15	0	0	16	0	3	0	10	7	11	20
miR-6089-2-3p	miR-6089-2-3p	0	4	1	0	3	9	5	3	9	11	0	1	8	2	3	0	4	10	7	3	0	2	1	3
miR-3662-3p	miR-3662-3p	0	7	3	0	6	7	1	0	5	11	1	6	4	1	3	1	10	7	6	7	1	5	5	7
miR-412-3p	miR-412-3p	0	8	6	12	9	10	0	0	0	11	4	1	1	3	4	9	2	2	4	0	6	1	7	11
miR-3692-3p	miR-3692-3p	0	1	11	0	8	10	0	0	0	11	5	1	5	1	5	0	7	11	4	0	0	0	5	2
miR-3920-5p	miR-3920-5p	0	0	3	0	0	0	0	0	0	11	3	1	2	1	1	1	4	9	1	8	0	0	1	3
miR-4768-5p	miR-4768-5p	0	1	0	0	8	13	0	2	1	11	4	1	0	3	0	7	9	4	3	9	7	1	2	13
miR-346-5p	miR-346-5p	0	8	0	0	1	5	1	0	15	11	3	1	5	2	6	13	1	8	7	11	10	10	3	10
miR-3923-3p	miR-3923-3p	0	1	3	0	4	7	0	5	1	11	4	3	7	1	2	4	3	5	0	2	8	0	6	7
miR-337-5p	miR-337-5p	0	8	3	1	20	20	1	0	0	11	7	2	4	34	12	2	14	13	17	0	13	4	11	56
miR-554-5p	miR-554-5p	0	3	2	0	2	2	0	1	1	11	0	1	0	2	0	3	3	0	0	0	4	1	0	0
miR-548i-4-5p	miR-548i-4-5p	0	18.2	3	3	5	8.6	5	0	1	10.8	12	2.6	20	1	13.6	3	26.2	4.8	10.57142857	0	2.285714286	4	17	13
miR-548ap-3p	miR-548ap-3p	0	5	2	1	2	8	2	2	12	10.45	9	4	0	12.25	1	8	7.75	8	0	10	10	4	10	17
miR-548v-5p	miR-548v-5p	0	0	1.348148148	0	2.107142857	12.44444444	0	0	4.148148148	10.2962963	0.111111111	0.074074074	11.23333333	5.762962963	11.25793651	2	0.111111111	16.42857143	5.369047619	0	0.169642857	4.074074074	2	7
miR-2116-3p	miR-2116-3p	0	0	2	14	12	17	0	2	0	10	7	0	4	22	0	2	6	9	5	6	3	2	3	10
miR-6833-3p	miR-6833-3p	0	2	4	0	1	1	3	0	5	10	9	4	4	6	6	5	0	6	7	9	3	1	2	18
miR-1248-3p	miR-1248-3p	0	7.666666667	0	14	9	5	1	1	0	10	4	2	3	3	4	5	0	2	1	0	5	0	8	13
miR-559-3p	miR-559-3p	0	5	2	0	8	7	0	2	0	10	2	3	7	8	0	7	3	3	2	0	6	0	12	9
miR-609-5p	miR-609-5p	0	5	5	0	15	8	3	1	8	10	4	1	0	14	2	0	3	10	2	0	2	0	2	0
miR-5585-5p	miR-5585-5p	0	18	1	0	9	19	2	0	7	10	4	4	0	3	0	6	11	7	16	21	9	2	14	7
miR-19b-1-5p	miR-19b-1-5p	0	0	2	4	2	3	0	5	3	10	2	7	2	3	4	2	1	4	2	8	5	4	4	11
miR-4455-5p	miR-4455-5p	0	6	3	11	3	3	3	37	6	10	19	19	2	31	16	10	16	58	0	46	49	3	6	62
miR-559-5p	miR-559-5p	0	0	4	0	4	5.5	0	0	1	10	0	0.5	1	2	0	1	2	1	2	2	3.5	2	0	7.5
miR-411-3p	miR-411-3p	0	2	6	4	18.5	8	0	0	0	10	11	3	5	51.5	0	11	8	20	13	0	5.5	0	4	84
miR-4527-5p	miR-4527-5p	0	12	8	10	8	9	15	8	5	10	13	7	6	0	4	7	15	9	8	0	4	1	3	5
miR-3126-3p	miR-3126-3p	0	0	0	6	4	4	0	0	0	10	0	0	2	7	0	0	6	11	1	0	4	1	5	6
miR-3118-1-3p	miR-3118-1-3p	0	11	1	10	16	20	0	0	3	10	0	0	20	0	0	7	17	1	0	0	4	0	5	2
miR-6799-3p	miR-6799-3p	0	5	2	0	6	4	0	4	0	10	5	0	0	0	2	0	1	0	3	0	2	0	2	0
miR-3157-3p	miR-3157-3p	0	0	1	0	4	0	1	0	1	10	0	2	5	2	0	1	1	2	3	0	1	0	0	3
miR-1246	miR-1246	0	13	1	5	23	22	2	2	6	10	10	2	13	6	13	21	2	45	2	0	5	2	11	4
miR-1537-3p	miR-1537-3p	0	2	0	0	5	0	0	0	0	10	0	0	0	1	0	3	3	11	0	3	16	0	0	2
miR-4430-5p	miR-4430-5p	0	18	4	5	18	25	22	4	27	10	12	27	14	7	13	11	6	0	10	33	7	6	2	12
miR-1908-5p	miR-1908-5p	0	5	1	0	8	6	15	7	19	10	5	4	9	11	18	5	7	13	11	7	5	11	7	10
miR-499b-5p	miR-499b-5p	0	14	5	4	6	7	7	0	0	10	9	13	18	4	12	3	1	7	5	1	4	4	2	4
miR-3941-3p	miR-3941-3p	0	0	7	8	6	8	1	0	0	10	3	1	1	3	6	1	4	6	5	0	2	2	2	2
miR-3907-5p	miR-3907-5p	0	2	6	7	3	3	4	25	3	10	5	15	4	2	11	2	9	4	8	2	11	5	8	8
miR-374c-3p	miR-374c-3p	0	4	2	0	3	2.333333333	2	0	0	9.5	9	0	1	4	4	2	1.666666667	2	0	0	2	0	0	7
miR-4258-3p	miR-4258-3p	0	3	6	1	3	3	8	8	5	9	3	7	5	8	6	1	6	3	0	7	3	4	0	5
miR-301b-3p	miR-301b-3p	0	12	3	0	4	2	2	0	0	9	6	0	2	4	0	0	12	5	6	0	8	1	7	4
miR-4725-5p	miR-4725-5p	0	6	3	9	2	5	1	1	4	9	1	3	0	1	6	2	7	5	3	0	10	11	15	0
miR-216a-5p	miR-216a-5p	0	3	4	5	22	21	10	5	2	9	5	3	15	57	21	2	4	12	34	0	10	10	19	261
miR-2110	miR-2110	0	3	8	0	4	3	2	0	0	9	0	3	9	8	5	4	3	6	0	26	7	7	7	6
miR-6508-3p	miR-6508-3p	0	9	0	0	13	11	4	0	0	9	4	2	0	9	9	0	5	0	4	0	4	5	5	4
miR-6797-5p	miR-6797-5p	0	3	1	0	0	3	2	0	6	9	6	6	1	0	8	0	2	14	0	7	0	2	0	1
miR-8080-3p	miR-8080-3p	0	0	2	7	1	0	1	4	0	9	0	0	0	0	1	1	1	0	0	0	1	4	3	0
miR-5191-5p	miR-5191-5p	0	0	0	0	4	10	6	11	4	9	0	8	9	2	3	2	8	1	5	9	10	1	1	1
miR-4707-5p	miR-4707-5p	0	34	5	3	5	13	11	0	7	9	6	1	19	16	10	9	2	14	5	0	6	5	5	15
miR-665-3p	miR-665-3p	0	8	5	3	18	23	2	11	7	9	18	5	3	13	11	8	6	28	12	11	14	11	9	49
miR-5696-3p	miR-5696-3p	0	0	0	1	12	4	0	0	0	9	0	0	2	2	6	0	1	13	4	0	0	0	0	8
miR-555-3p	miR-555-3p	0	0	4	0	6	0	4	6	0	9	2	0	6	2	0	2	3	4	0	0	1	0	2	6
miR-6784-3p	miR-6784-3p	0	19	9	13	17	10	3	0	6	9	3	6	10	9	3	0	4	12	1	1	1	1	3	4
miR-3937-5p	miR-3937-5p	0	21	11	22	18	64	5	0	6	9	12	5	10	3	12	5	4	14	3	3	3	1	7	9
miR-3177-3p	miR-3177-3p	0	1	2	0	3	5	0	0	5	9	7	6	0	3	4	1	0	10	0	0	2	0	0	6
miR-659-3p	miR-659-3p	0	0	3	0	0	1	0	3	0	9	1	0	4	0	0	0	0	1	0	0	1	7	0	0
miR-95-5p	miR-95-5p	0	6	2	0	7	14	0	4	9	9	12	1	7	6	1	6	14	9	8	9	11	3	8	15
miR-1256-5p	miR-1256-5p	0	4	4	0	4	10	1	0	0	9	3	17	8	0	17	13	11	2	4	6	16	8	2	1
miR-3657-5p	miR-3657-5p	0	6	2	0	3	3	4	1	0	9	2	3	3	0	2	0	4	8	9	4	7	7	3	0
miR-7847-3p	miR-7847-3p	0	8	6	2	9	29	6	19	8	9	12	7	2	18	1	10	9	16	11	1	1	6	4	12
miR-4259-3p	miR-4259-3p	0	26	17	2	16	10	9	4	1	9	6	8	4	9	13	1	11	5	0	17	4	1	9	17
miR-4774-5p	miR-4774-5p	0	1	9	0	13	0	0	2	0	9	2	1	6	4	3	4	15	15	0	0	2	3	2	7
miR-4785-5p	miR-4785-5p	0	7	1	1	9	12	1	8	7	9	10	9	2	2	22	0	5	6	10	0	7	6	2	8
miR-4706-3p	miR-4706-3p	0	8	0	0	2	13	3	0	3	9	16	2.25	6	7	16	1	1	3	7	0	8	1	4	13
miR-769-3p	miR-769-3p	0	5	8	0	4	17	13	4	26	9	5	21	21	10	2	1	11	8	8	24	16	12	10	8
miR-4756-3p	miR-4756-3p	0	3	5	7	8	2	2	0	0	9	0	0	0	0	0	2	0	0	1	0	1	0	0	0
miR-4330-5p	miR-4330-5p	0	7	6	0	2	8	0	3	0	9	0	0	1	0	3	0	4	1	3	0	0	1	0	7
miR-508-3p	miR-508-3p	0	18	2	13	1	10	12	4	0	9	29	3	21	197	6	1	15	73	6	0	122	1	49	145
miR-6858-3p	miR-6858-3p	0	0	4	0	0	1	0	3	5	9	3	2	5	0	4	0	4	0	1	0	3	0	1	0
miR-551a-3p	miR-551a-3p	0	2	0	0	0	3	0	4	2	9	1	1	3	0	4	1	0	0	0	0	2	1	2	2
miR-936-5p	miR-936-5p	0	0	0	0	0	2	0	0	0	9	2	0	0	0	0	2	3	0	1	0	2	2	1	0
miR-509-3-5p	miR-509-3-5p	0	0	0	0	5	0	1	0	0	9	19	0	18	134	0	0	1	19	3	0	35	0	4	44
miR-153-3p	miR-153-3p	0	1	0	17	2	8	5	0	1	9	0	0	1	5	0	0	0	2	1	0	4	0	2	4
miR-6832-5p	miR-6832-5p	0	11	1	0	8	13	11	0	2	9	3	5	12	10	0	3	10	12	3	0	8	0	8	29
miR-4662a-3p	miR-4662a-3p	0	0	2	0	2	5	0	0	3	9	4	2	8	4	0	0	0	6	8	0	3	1	6	19
miR-4719-5p	miR-4719-5p	0	1	0	1	1	9	0	0	0	9	0	1	0	3	0	3	2	3	0	0	0	0	1	0
miR-4301-5p	miR-4301-5p	0	2	8	12	25	69	4	1	9	9	7	2	3	16	0	25	11	17	10	4	4	0	9	13
miR-548az-5p	miR-548az-5p	0	14	8.5	8.181818182	17	10	9	15	11	8.757575758	12	6	9	9	9	4	10	21	4	5	18.06060606	8.333333333	20	15.63636364
miR-548c-5p	miR-548c-5p	0	14.66666667	5	3	6	9	7	0	0	8.666666667	5	0	0	12	7	2	27.33333333	7	20	3	10	0	3	26
miR-378b-3p	miR-378b-3p	0	2.333333333	3.333333333	3	1	6.666666667	2	6.333333333	4.666666667	8.333333333	0	5	4.333333333	3.666666667	3	5.666666667	6	4.666666667	2	0.333333333	15.33333333	11	8.333333333	15
miR-4641-3p	miR-4641-3p	0	0	0	0	0	0	0	0	0	8	0	2	0	2	0	0	0	0	3	0	0	0	0	0
miR-3913-5p	miR-3913-5p	0	10	1	0	15	0	6	4	3	8	1	9	4	17	39	14	29	0	6	5	12	18	8	11
miR-1287-3p	miR-1287-3p	0	0	0	2	1	6	0	0	0	8	3	0	3	6	0	0	2	1	4	0	0	0	1	2
miR-3197-5p	miR-3197-5p	0	2	3	0	1	1	1	4	1	8	2	3	2	2	0	1	2	0	0	0	1	0	2	1
miR-936-3p	miR-936-3p	0	0	4	0	3	5	0	0	0	8	0	9	1	0	0	0	2	0	3	0	1	0	0	2
miR-1272-3p	miR-1272-3p	0	16	4	8	4	7	1	1	9	8	9	11	3	3	0	2	4	4	3	9	2	0	9	5
miR-6869-3p	miR-6869-3p	0	0	8	7	13	6	5	5	0	8	3	2	1	17	0	6	1	0	0	6	5	7	1	14
miR-363-5p	miR-363-5p	0	0	1	0	2	7	0	0	2	8	1	5	2	14	0	0	0	5	2	3	7	0	1	9
miR-6737-3p	miR-6737-3p	0	11	1	7	16	4	1	12	0	8	8	3	6	1	0	1	7	6	11	4	2	4	2	1
miR-1285-3p	miR-1285-3p	0	4	0	4	0	6	0	0	0	8	1	2	4	0	11	0	6	0	7	0	0	2	0	0
miR-4732-5p	miR-4732-5p	0	9	2	9	10	6	2	0	2	8	3	0	0	12	10	0	4	3	5	0	2	5	2	8
miR-4466-5p	miR-4466-5p	0	6	9	8	26	12	8	29	5	8	11	12	7	18	11	4	3	4	3	5	1	7	9	8
miR-6835-3p	miR-6835-3p	0	0	0	0	0	2	4	0	1	8	0	0	4	0	0	0	0	0	2	0	0	0	1	1
miR-548aq-3p	miR-548aq-3p	0	6	2	0	2	10.7	0	0	0	8	1.8	2	6.25	21.66666667	3.25	6	10.2	6.714285714	5.5	1	5	0	2.2	12.6
miR-6846-5p	miR-6846-5p	0	0	1	1	13	17	1	3	0	8	4	2	1	3	0	8	0	5	2	0	8	0	0	7
miR-6868-3p	miR-6868-3p	0	5	10	0	14	5	0	0	3	8	0	1	0	11	4	0	11	19	20	4	8	6	7	10
miR-4525-3p	miR-4525-3p	0	3	0	0	0	6	3	15	2	8	2	5	0	5	7	9	5	6	4	0	0	2	3	23
miR-548bc	miR-548bc	0	3	0	0	0	1	1	0	0	8	0	0	1	2	0	0	0	0	0	0	1	0	0	1
miR-6133-5p	miR-6133-5p	0	0	0	7	0	3	6	0	0	8	0	1	2	6	5	0	5	7	3	0	10	4	2	1
miR-7156-3p	miR-7156-3p	0	2	3	0	11	9	4	0	7	8	19	3	1	15	7	5	3	11	2	0	7	0	13	5
miR-3678-5p	miR-3678-5p	0	2	0	1	2	3	3	5	4	8	1	0	0	0	0	0	11	2	0	0	3	2	1	0
miR-6780a-3p	miR-6780a-3p	0	3	3	3	2	6	0	5	1	8	5	10	5	2	1	3	12	4	5	0	9	1	6	9
miR-3125-5p	miR-3125-5p	0	10	4	0	8	6	4	3	0	8	3	7	20	6	3	2	4	2	8	19	4	11	6	3
miR-519b-5p	miR-519b-5p	0	3	2	0	2	13	0	0	0	8	0	5	6	6	4	8	0	0	2	18	4	5	0	5
miR-299-5p	miR-299-5p	0	3	0	6	5	12	0	0	0	8	4	2	7	28	0	4	1	20	9	0	12	4	7	47
miR-3614-5p	miR-3614-5p	0	8	8	0	8	11	5	0	1	8	1	2	3	1	4	6	9	4	2	18	6	6	0	5
miR-548a-3-3p	miR-548a-3-3p	0	11	2	0	25	21	2	0	0	8	7	4	10	11	3	5	9	11	8	2	4	0	6	20
miR-3688-2-3p	miR-3688-2-3p	0	6	4	0	7	12	5	4	3	8	10	0	0	17	25	9	8	19	14	12	4	5	9	6
miR-641-3p	miR-641-3p	0	2	1	0	0	3	0	2	0	8	2	3	6	3	3	0	5	2	15	0	6	0	4	8
miR-6884-5p	miR-6884-5p	0	6	11	3	6	11	2	2	3	8	8	6	3	5	3	3	9	1	6	1	10	5	11	22
miR-184-5p	miR-184-5p	0	1	0	0	0	2	0	0	0	8	5	3	3	0	0	0	2	4	0	0	0	1	0	1
miR-3619-5p	miR-3619-5p	0	2	1	0	1	4	0	0	1	8	2	0	1	4	0	0	3	0	0	5	2	0	0	1
miR-4796-3p	miR-4796-3p	0	0	4	6	0	4	0	0	0	8	1	2	11	3	0	0	3	2	10	3	0	1	1	5
miR-6777-3p	miR-6777-3p	0	0	0	0	3	5	4	5	2	8	1	0	8	7	1	6	13	2	2	0	3	1	0	1
miR-545-5p	miR-545-5p	0	1	0	9	4	1	0	11	0	8	0	1	4	3	0	1	5	3	0	2	4	4	3	8
miR-7978-3p	miR-7978-3p	0	5	0	0	0	12	0	0	0	8	4	0	3	5	0	0	5	0	1	0	1	0	1	4
miR-3158-3p	miR-3158-3p	0	8	0	0	13	1	1	0	0	8	5	2	5	8	13	6	3	7	14	0	20	8	7	8
miR-6753-3p	miR-6753-3p	0	3	3	7	5	22	4	23	18	8	10	22	20	7	10	11	9	5	6	42	15	17	11	13
miR-4313-5p	miR-4313-5p	0	12	0	7	0	7	3	6	13	8	4	9	10	15	22	5	9	9	8	5	8	6	3	14
miR-548bc-3p	miR-548bc-3p	0	3	2	0	15	9	1	0	14	8	7	0	4	12	24.33333333	10	3	13	26	0	25	0	3	27
miR-6730-5p	miR-6730-5p	0	3	0	0	0	4	4	1	0	8	0	2	2	2	0	5	0	6	5	0	0	0	1	0
miR-1289-1-5p	miR-1289-1-5p	0	1	2	0	4	4	0	0	0	8	0	5	3	5	0	0	4	0	0	7	4	0	0	6
miR-3150a-3p	miR-3150a-3p	0	2	0	0	0	2	2	1	1	8	7	0	5	4	0	0	1	6	2	19	2	7	1	1
miR-4512-3p	miR-4512-3p	0	4	8	1	4	11	0	0	0	8	3	8	4	6	1	1	6	2	4.333333333	14.66666667	7	0	2	6
miR-3140-3p	miR-3140-3p	0	9	10	0	13	19	29	9	21	8	12	18	7	15	32	7	14	26	4	16	6	0	26	28
miR-6739-3p	miR-6739-3p	0	5	0	0	0	3	1	0	0	8	3	2	2	4	0	2	1	0	0	1	1	0	0	13
miR-4318-3p	miR-4318-3p	0	1	2	0	1	5	2	0	2	8	12	0	17	13	8	8	7	3	5	3	8	7	1	6
miR-650-3p	miR-650-3p	0	5	11	10	10	8	2	1	0	8	2	8.75	4	8	15	4	15	6	11	0	18	3	11	11
miR-8485-5p	miR-8485-5p	0	6	1	0	3	5	0	0	5.5	8	7	0	2	9	0	0	10	13	14	0	8	2	3	4
miR-3610-3p	miR-3610-3p	0	3	4	0	2	2	10	21	12	8	7	9	9	9	17	1	5	5	9	11	4	4	1	6
miR-3199-2-5p	miR-3199-2-5p	0	1	0	11	3	1	0	7	0	8	5	6	8	0	0	1	3	0	4	0	0	0	1	8
miR-8071-3p	miR-8071-3p	0	7	3	6	5	36	6	39	15	8	1	16	6	1	29	14	7	8	15	2	6	6	8	8
miR-548l-5p	miR-548l-5p	0	0	1	0	8	6.076923077	0	0	0	8	4	0	8	2	7	3	4	8	3	0	10	4	2	18
miR-4490-3p	miR-4490-3p	0	2	0	0	0	3	0	3	4	8	4	6	0	2	8	0	5	2	2	12	0	0	1	0
miR-935-5p	miR-935-5p	0	1	0	0	6	1	5	3	0	8	0	1	0	2	5	2	4	0	0	9	11	5	1	6
miR-6770-3-3p	miR-6770-3-3p	0	2	1	8	1	3	7	17	11	8	0	8	14	3	0	14	11	7	0	0	7	1	0	9
miR-5001-5p	miR-5001-5p	0	21	0	0	3	9	2	3	9.5	8	3	3	11	4	16	6	4	9	7	12	13	5	1	18
miR-548b-5p	miR-548b-5p	0	14	3	4	4.5	11	5	0	8	8	6	10.33333333	6.5	11	0	5.5	13	20	5	4	7	5	3	16
miR-500b-3p	miR-500b-3p	0	0	4	0	4	5	0	0	1	7.5	0	3	0	1.333333333	6	4	9	8	1	0	22	3	1	51.5
miR-4317-5p	miR-4317-5p	0	2	0.5	2	3.5	12	0	0	0	7.5	1	2	5	1.5	0	2.5	0.5	0.5	2	0	3	0	1	4.5
miR-3158-2-5p	miR-3158-2-5p	0	0	0	0	0	2	3	0	0	7	4	1	0	1	0	0	1	0	1	8	0	0	3	0
miR-1182-3p	miR-1182-3p	0	1	4	0	0	0	1	1	4	7	3	0	0	0	9	1	1	6	0	1	7	0	0	3
miR-3181-5p	miR-3181-5p	0	8	7	0	3	6	6	4	1	7	1	8	0	11	0	0	8	1	2	4	10	0	3	14
miR-4308-5p	miR-4308-5p	0	1	2	0	2	15	4	0	3	7	5	0	4	2	0	1	1	2	0	0	5	1	4	4
miR-3915-3p	miR-3915-3p	0	0	1	0	1	15	2	0	1	7	0	2	0	3	4	3	7	0	0	0	2	0	0	4
miR-4453-3p	miR-4453-3p	0	1	2	0	8	1	3	0	0	7	3	4	0	3	0	1	0	0	1	0	3	0	4	2
miR-376c-5p	miR-376c-5p	0	2	0	0	10	0	4	0	0	7	3	2	1	3	6	2	3	10	13	0	12	7	2	7
miR-1265-3p	miR-1265-3p	0	7	1	0	0	4	1	0	4	7	0	0	2	0	0	0	0	3	6	0	1	4	1	1
miR-6715b-3p	miR-6715b-3p	0	3	5	0	7	9	8	0	41	7	13	8	11	10	1	1	19	6	1	6	18	5	6	44
miR-597-3p	miR-597-3p	0	0	1	0	4	1	6	4	1	7	2	3	0	3	6	2	10	0	9	5	0	0	0	8
miR-802-5p	miR-802-5p	0	0	5	0	1	1	0	0	0	7	1	2	15	3	0	1	0	0	0	0	0	0	0	6
miR-8086-5p	miR-8086-5p	0	0	1	0	0	3	2	0	0	7	0	2	0	0	0	0	0	0	0	0	4	2	0	2
miR-1255a-5p	miR-1255a-5p	0	15	8	3	9	11	2	3	1	7	8	6	15	3	3	3	2	7	6	0	12	7	9	9
miR-12129-3p	miR-12129-3p	0	0	0	0	7	6	0	1	2	7	0	1	1	2	0	7	0	0	6	2	1	0	1	2
miR-4299-3p	miR-4299-3p	0	3	7	0	4	3	15	2	10	7	2	6	0	3	4	1	4	6	1	8	0	1	7	7
miR-4781-3p	miR-4781-3p	0	0	1	0	1	6	2	3	0	7	0	2	1	5	0	0	3	8	10	0	5	8	4	15
miR-873-5p	miR-873-5p	0	2	2	0	7	63	13	0	0	7	18	5	2	4	0	0	8	13	13	0	52	1	6	10
miR-3912-5p	miR-3912-5p	0	1	0	20	0	2	1	1	0	7	3	0	6	3	0	1	2	0	5	0	0	0	0	8
miR-106a-3p	miR-106a-3p	0	4	3	0	27	32	7	5	13	7	8	18	11	39	28	9	15	40	14	17	24	8	9	99
miR-4325-5p	miR-4325-5p	0	4	5	2	10	23	1	0	3	7	10	0	2	9	1	3	6	2	13	0	13	3	11	9
miR-6515-3p	miR-6515-3p	0	3	0	0	1	9	0	0	0	7	3	0	11	0	0	0	2	2	6	8	1	0	3	1
miR-4637-5p	miR-4637-5p	0	0	0	6	4	0	0	0	0	7	0	0	3	0	11	0	0	0	2	0	0	0	2	2
miR-1206-3p	miR-1206-3p	0	2	3	0	0	6	0	0	4	7	5	0	0	2	0	0	3	1	9	0	1	0	1	0
miR-6826-3p	miR-6826-3p	0	7	0	16	7	9	3	0	5	7	4	6	8	0	5	1	6	0	1	0	2	2	3	1
miR-1303	miR-1303	0	35	6	0	8	5	2	0	0	7	9	0	5	11	9	3	5	2	10	5	11	10	8	50
miR-4663-3p	miR-4663-3p	0	0	0	9	6	24	2	0	6	7	4	0	7	5	3	8	2	0	3	3	7	1	5	9
miR-4536-2-3p	miR-4536-2-3p	0	1	0	0	0	1	0	0	0	7	1	0	0	2	0	0	9	1	2	0	0	0	0	2
miR-1285-2-3p	miR-1285-2-3p	0	3	1	0	3	7	1	6	0	7	6	4	6	8	0	0	4	2	4	0	10	2	2	8
miR-1914-5p	miR-1914-5p	0	6	1	0	1	4	3	9	11	7	0	2	4	1	6	6	0	1	3	18	3	1	4	0
miR-610-5p	miR-610-5p	0	0	0	0	0	5	0	0	4	7	0	0	2	2	4	3	13	0	3	8	0	4	4	2
miR-5004-3p	miR-5004-3p	0	9	1	0	1	7	3	5	0	7	1	0	4	0	4	0	8	0	1	0	1	0	1	4
miR-3651-3p	miR-3651-3p	0	11	9	12	10	10	0	0	6	7	6	12	7	17	7	15	16	12	4	3	21	0	8	31
miR-3173-3p	miR-3173-3p	0	0	0	0	5	0	3	0	0	7	0	4	2	0	0	0	12	0	7	0	0	0	0	0
miR-1233-2-3p	miR-1233-2-3p	0	15	0	0	2	2	0	1	1	7	3	1	3	3	0	5	2	0	0	0	2	2	0	2
miR-2276-3p	miR-2276-3p	0	8	1	0	4	1	0	3	3	7	1	0	10	4	1	0	10	3	0	0	16	0	1	4
miR-3159-5p	miR-3159-5p	0	0	1	0	0	6	0	0	0	7	0	0	0	9	0	0	0	1	0	1	1	1	11	7
miR-218-1-3p	miR-218-1-3p	0	23	0	0	41	36	4	0	0	7	7	8	11	17	9	1	7	41	23	0	13	1	11	92
miR-6069-5p	miR-6069-5p	0	7	5	0	0	26	5	8	4	7	2	8	1	2	0	7	5	2	1	24	4	9	2	4
miR-4679-1-3p	miR-4679-1-3p	0	0	0	0	1	5	0	0	3	7	2	0	0	1	0	0	9	3	3	0	0	0	0	2
miR-5191-3p	miR-5191-3p	0	10	1	0	5	10	5	5	18	7	1	1	2	7	12	6	9	6	3	12	0	2	2	9
miR-513c-5p	miR-513c-5p	0	0	4	0	3	2	0	0	0	7	2	0	5	17	6	0	1	9	0	0	11	1	0	9
miR-548x-2-5p	miR-548x-2-5p	0	5	1	0	0	0	0	0	0	7	1	0	2	0	0	0	1	2	0	0	8	0	1	12
miR-4310-5p	miR-4310-5p	0	3	3	24	0	5	1	0	1	7	3	3	1	5	6	0	9	0	5	4	2	0	1	3
miR-8064-3p	miR-8064-3p	0	5	1	0	10	9	11	5	6	7	3	5	4	14	14	0	2	6	2	13	9	6	10	2
miR-4682-5p	miR-4682-5p	0	6	0	0	4	2	1	1	1	7	10	2	6	1	3	4	7	1	11	1	25	1	1	13
miR-1298-3p	miR-1298-3p	0	1	2	0	2	5	1	1	0	7	1	1	0	1	10	7	10	4	1	12	17	5	3	4
miR-1302-11-5p	miR-1302-11-5p	0	0	1	0	5	1	2	0	0	7	0	0	2	2	0	1	3	2	7	0	0	0	0	0
miR-3135a-5p	miR-3135a-5p	0	8	1	0	11	10	0	0	6	7	2	3	12	8	2	1	0	10	0	7	9	4	5	5
miR-1294-5p	miR-1294-5p	0	1	2	0	12	1	8	0	7	7	7	0	7	12	5	2	2	5	13	2	10	0	1	3
miR-3925-3p	miR-3925-3p	0	0	1	0	3	2	0	0	7	7	0	0	2	1	0	0	0	12	0	0	11	0	3	9
miR-564-5p	miR-564-5p	0	5	1	4	7	6	4	4	0	7	2	10	0	1	18	1	3	1	0	0	3	14	2	1
miR-6735-3p	miR-6735-3p	0	5	1	2	5	6	1	0	0	7	2	1	4	4	0	5	6	5	16	6	0	6	3	3
miR-6740-3p	miR-6740-3p	0	1	1	0	1	4	0	1	1	7	1	1	2	5	0	3	3	6	6	0	3	0	1	1
miR-5047-5p	miR-5047-5p	0	1	0	0	0	3	0	0	0	7	0	0	0	2	2	0	1	3	0	4	0	1	0	1
miR-4644-3p	miR-4644-3p	0	14	2	0	4	1	7	15	9	7	4	1	5	2	3	0	4	0	2	0	1	0	1	8
miR-614-3p	miR-614-3p	0	6	7	17	11	3	11	7	9	7	7	2	0	2	6	0	0	6	5	0	1	0	8	9
miR-6129-5p	miR-6129-5p	0	0	0	6	2	3	0	1	0	7	3	0	0	0	0	0	1	0	0	0	4	0	0	1
miR-1305-3p	miR-1305-3p	0	0	1	1	4	2	0	0	0	7	9	1	0	4	0	1	6	6	0	1	0	0	2	2
miR-6130-5p	miR-6130-5p	0	0	0	0	0	6	0	0	2	7	1	0	3	1	15	0	8	0	0	0	0	0	2	3
miR-487a-5p	miR-487a-5p	0	0	0	8	3	6	4	8	15	7	8	0	1	12	0	0	1	2	2	0	10	2	4	10
